username,userid,profile_location,created_at,text,retweet_count,source,coordinates
AEGIS: 2nd Ignition Kickstarts NOW!! IT'S LIVE! GO,1248114954,"Renton, WA",2023-01-26 07:22:48,idk why this works every time but god do i love you all,0,Twitter Web App,
Mary Dietz,1518482899229560832,Seattle. WA,2023-01-26 06:23:32,@bakedalaska you are the furthest from God or Jesus. You just use religion as an excuse to hate and oppress others… https://t.co/ajQfzJtRNl,0,Twitter Web App,
Seth Mathison,108886063,Seattle,2023-01-26 06:06:17,@ExJohnHonestyy Dembele got away with one.  I don’t think there was malice on his part but it likely would have led… https://t.co/6MrgkWgoSH,0,Twitter for iPhone,
🦁🍸🐈‍⬛Jane🐈‍⬛🍸🦁,21704042,Kent,2023-01-26 06:04:22,"@Dapper39000205 Morning lovely,  fell asleep and missed Love Island 🤦‍♀️🤣. Wfh day today thank god, its so cold 🥶.… https://t.co/VN0X4MYegw",0,Twitter for Android,
Javon 🌌,2376629814,"Seattle, WA",2023-01-26 05:58:05,Wtf was that pass Jesus Christ,0,Twitter for iPhone,
Jimmy Reed,881750383,"Seattle, WA",2023-01-26 05:30:55,"Although, I imagine the smears are hurtful, I don't think he really cares. He's not trying to convince the pharisee… https://t.co/VrkKdhPlJP",0,Twitter Web App,
Jimmy Reed,881750383,"Seattle, WA",2023-01-26 05:28:22,"This is also not ""theologically affirming or inclusive,"" it's just loving. Jesus is all about love.

“Let any one o… https://t.co/40ztOjXJmh",0,Twitter Web App,
Alex Eyler,340584803,Redmond,2023-01-26 05:19:56,"Oh my god the ""Bruce there it is"" chants at CPA is so petty I love it",0,Twitter Web App,
Capitán Beto,1973042029,"Seattle, WA",2023-01-26 05:05:16,Jesus fucking christ https://t.co/QQgn7rmf7n,0,Twitter for iPhone,
Ibrahim Malcom X,1551802259217989633,"Seattle, WA",2023-01-26 04:56:26,@AJEnglish Corrupted pope. God does not love sinners.,0,Twitter for iPhone,
jake,1416241572505477122,"Seattle, WA",2023-01-26 04:44:50,@TangoGolfKilo Oh my god im so in love. That Mac Demarco album is also one of my favorites,0,Twitter for iPhone,
elsa♡,1027793150,"Seattle, WA",2023-01-26 04:41:00,"god i fucking love this community so much, im still wiping tears from my eyes from laughing so god damn hard 

“A S… https://t.co/2CipnmhcxQ",0,Twitter for iPad,
Big Stupid Fun,44664960,"Seattle, WA",2023-01-26 03:57:09,"@feliciaday Film. Everything. My god it goes fast. Mine is 13 now, and I absolutely love when the Facebook memories… https://t.co/DweI3l2zh9",0,Twitter for iPhone,
Deejayvirgo,1074588282,"Seattle, WA",2023-01-26 03:53:33,"Mathew 22:37 

 “‘Love the Lord your God with all your heart and with all your soul and with all your mind.’",0,Twitter for iPhone,
