username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Kimberly K I n c h e n,230310109,Seattle,2023-01-23 02:19:00,"@BFryback I love rejecting the offers of parking validation by saying I’d love a rebate for coming by bus, or just… https://t.co/6tKyZWfOWb",0,Twitter Web App,
Jaime Muñana,28629154,"Seattle, WA",2023-01-23 02:07:35,@nonnie_nautskie My God I’d love to suck you clean with all do respect!🥰,0,Twitter for iPhone,
Carrie LaMarr,162908023,"Seattle, WA",2023-01-23 01:47:11,God damn Kittle. Insane. Love that guy. Wish he were on any other team than the 49ers…,0,Twitter for iPhone,
john speranza,14620321,"Seattle, WA",2023-01-23 01:27:29,God love this website where people can argue with a straight face that it is a net evil for a human being to be bor… https://t.co/EF3TkDptB9,1,Twitter Web App,
Rob Christ 🇺🇦🇺🇸,281164125,"Edmonds, Washington",2023-01-23 01:05:08,"@POPATnotPopehat @Christ2010Grad @preston_shipp @BeknJ God is explicitly non-authoritarian in the incarnation, cruc… https://t.co/fpBKJMcv4h",0,Twitter for iPhone,
Vanessa Gordon,1613701414966136833,"Seattle, WA",2023-01-23 00:52:19,@BluTheDom Wow well I uncurse it I believe in the power of JESUS CHRIST NO WEAPON FORM  ON U SHALL PROSPER IN JESUS  NAME AMEN,0,Twitter for Android,
James Johnson,1128332041949286400,Seattle,2023-01-23 00:49:31,"The Love of God breaks the chain of bondage from All Addictions!

Set the Captives Free! https://t.co/vnHL0T6BmE",0,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2023-01-23 00:49:30,"The Love of God! ❤️‍🔥

“I came NOT to call the righteous, but SINNERS.”

""He heals the brokenhearted and binds up t… https://t.co/X35sQnig86",0,Twitter Web App,
theezy,23110271,"seattle, wa",2023-01-23 00:20:54,"god. i love new york. 

the bartender to the guy next to me, “hey is there any particular reason you didn’t tip me?” https://t.co/nxVWB6fdq6",0,Twitter for iPhone,
Evan (33.3%),1272332410911326209,"Seattle, WA",2023-01-23 00:05:40,"@frankdegods Jesus fkn christ this is gold

Love you bud",0,Twitter Web App,
BrotherJohnW,3344893993,Seattle,2023-01-22 23:33:24,"@EndWokeness 0. Then begun the Church Age.
109 million books about Jesus Christ.
https://t.co/qAx3BhsEpn",0,Twitter for iPad,
Shawn,1599547021115142144,"Seattle, WA",2023-01-22 23:21:53,"@haleyckurz No, I think that was me. God is still working on me and I notice at times I jump into debates and forge… https://t.co/fziYgYdN1M",0,Twitter for iPhone,
Zulutime,1108046824563068928,Seattle USA,2023-01-22 23:19:32,@RealBrysonGray Being a faithful Christain is not dependent on who you vote for.  The Kingdom of God has zero conne… https://t.co/ZDHxR51dkN,0,Twitter Web App,
Table for 5,384523547,"Seattle, WA.",2023-01-22 23:16:40,"@nathaliejacoby1 The Church of Jesus Christ of Latter Day Saints. 
Single greatest land owner in Florida. Net worth… https://t.co/E5kLLQA7XZ",0,Twitter for iPhone,
The Third,370580820,"Seattle, Wa ",2023-01-22 23:13:17,Jesus Christ. Here we go with the bullshit ass refs lol,0,Twitter for iPhone,
🎱•VooDÒŐ♠️(a pathetic/miserable ass Raider Fan),1306201946865319936,"Tukwila, WA",2023-01-22 22:50:24,"Jesus christ...they were trying so hard to do that whole ""iron man and Jarvas"" relationship, glad I decided to hold… https://t.co/pE2lqogPEt",0,Twitter for Android,
Soma Lambert,269044760,"Kent, WA",2023-01-22 22:29:37,For the love of god Maher… please.,0,Twitter for iPhone,
John Fraley,892784155,Seattle,2023-01-22 22:26:14,@greatkeith360 God should find a new team to hate dontcha think. (I have suggestions.),0,Twitter for Android,
Gecko Afterlife,3301373893,"Seattle, WA",2023-01-22 22:10:49,@99kerosene God I love that season so much.,0,Twitter for Android,
Jack Rack,1604144113833893889,Seattle,2023-01-22 21:57:50,@_L4nd0n The middle eastern Jesus Christ ain’t winning the primary though,0,Twitter for iPhone,
Rosemary Sprig,825475346757660672,"Seattle, WA",2023-01-22 21:27:58,"In order to rise to the holy calling, the path is humility, humility, humility. How do we know? How do we find it?… https://t.co/AtYE3yjVB4",0,Twitter for iPhone,
Max,1181327954678124544,"Seattle, WA",2023-01-22 21:10:51,The Bills narrative is crazy and romo riding them even harder Jesus Christ,0,Twitter for iPhone,
David Roberts,22737278,"Seattle, WA",2023-01-22 20:57:44,@MillhouseBooty jesus crackling christ,0,Twitter Web App,
KEXP Playlist,826913607921176576,"Seattle, WA",2023-01-22 20:47:01,Noah Coinflip feat. Divine Augustine - Everybody Loves The Sunshine - God Is Love (2022),0,KEXP Now Playing V2,
Explosion Murder 💥,799438807,In a pineapple under the sea,2023-01-22 20:23:49,Jesus fucking Christ.,0,Twitter for Android,
Sheri Horton,24643658,"Seattle, WA",2023-01-22 20:17:49,"For those who don’t have a (genuine) relationship with Christ, this could seem overwhelming. 

But God… https://t.co/HDcQwI1Eny",0,Twitter for iPhone,
littlesiha,1512418406,"Seattle, WA",2023-01-22 20:02:31,@CarliSketches OH MY GOD I LOVE IT SHDHKSNS your style is so cute!!,1,Twitter for iPhone,
Tafoolio,1133892425527640064,"Seattle, WA",2023-01-22 19:49:39,@Rocanon2023 Tell me your an evangelical Christian without telling me!  Spouting scripture and love for God with ha… https://t.co/qhvaJMT8UT,0,Twitter for iPhone,
Joe Rixman,1298739028062175234,"Kent, WA",2023-01-22 19:33:59,"Anything with the letters GOP attached to it should be expunged from human history. they have proven, time and time… https://t.co/4kmWb4TnRz",1,Twitter Web App,
Agitated Spiders for Human Rights 🇺🇸🩸🦷,1583533650,Seattle,2023-01-22 19:28:41,"@ShanonBeckPA Oh! Jesus I am SO sorry you went through ABS. It's such a cruel modality, and it appears to have take… https://t.co/UQmH33PL6Z",0,Twitter for Android,
OgFresh777gaming #DaNation #PEG,1250928310692921344,"Seattle, WA",2023-01-22 19:20:17,"Thank you God for waking me, my family and close friends up to see another day my Lord savior in Jesus Christ you a… https://t.co/NKEPUUISe3",0,Twitter for Android,
SHAI🌹,2312463037,"Seattle, WA",2023-01-22 19:17:06,"Grieving is such a process like one day you can be good, god is good whew and then one day you can be in a twilight… https://t.co/GmkGXXXbhk",0,Twitter for iPhone,
Kerry Evan Cochran,737834063495467008,"Seattle, WA",2023-01-22 19:07:22,"@ph0b0s9331 @StackerSatoshi I love irreverent silly shit like this, god I’m easy and stupid",0,Twitter for iPhone,
roger szmodis,247007508,"Seattle, WA",2023-01-22 18:33:35,@logoffbrent God that was so much fun. I hate it.,0,Twitter for iPhone,
Jared the Skeptic,214369161,"Near Seattle, WA",2023-01-22 18:20:58,"@PTroubleshooter @cmjones21411 @ichabod2022 @charliekirk11 Jesus fucking christ.

For one thing, I was referring to… https://t.co/HswSUx1RMB",0,Twitter for Android,
elsa♡,1027793150,"Seattle, WA",2023-01-22 18:19:27,"@bunnygogh @does_sammi HAHAHAHHAAHHAHAHAH oh my god i love to see two hot girlies gassing each other up , it’s my favorite 💋💋💋💋🔥🔥🔥🔥🔥",0,Twitter for iPad,
Derek Stephens,131024208,"Seattle, WA",2023-01-22 18:03:40,@doomsday_diva @bezalelplace @PastorMark Certainly.  So do you feel as though calling out of evil precludes the ack… https://t.co/wnbi1UmHtg,0,Twitter Web App,
scottabe,17637276,Seattle,2023-01-22 17:33:15,"@davidgclohessy I did not believe either of them.  It was a deliberate, disgusting, hypocritical, amoral smear camp… https://t.co/CqcmA9b4ng",0,Twitter Web App,
elijahch,16121753,Seattle,2023-01-22 17:04:43,"Go look in the mirror today &amp; tell me what you see.  A reflection of Jesus Christ?  A reflection of this world?
If… https://t.co/GMlqoqYnxr",0,Twitter for iPhone,
IssaquahChristians,1548407821984616448,Issaquah WA,2023-01-22 16:15:11,"2b- as we follow Christ we should be meek, humble, non-confrontational. This will lead to others trying to take adv… https://t.co/zq4U3uf6x1",0,Twitter for Android,
Filmfreak Mafia,41002266,"Seattle, WA",2023-01-22 16:02:20,"A trick or two with the lepers and the whole town's on its feet. —Anna, Jesus Christ Superstar #xp #RandomMovieTVQuotes",0,Hootsuite Inc.,
Sean C.,17009937,"Seattle, WA",2023-01-22 16:02:20,"A trick or two with the lepers and the whole town's on its feet. —Anna, Jesus Christ Superstar #xp #RandomMovieTVQuotes",0,Hootsuite Inc.,
Kimber Maddox 🍀⏳🎗🕊,1275148092157751296,"Seattle, WA",2023-01-22 14:44:45,"God, I love this. https://t.co/xZ2YnJmPqQ",5,Twitter for iPad,
Manny Manny,753108977517551616,"Bellevue, WA",2023-01-22 14:30:03,@MarshaBlackburn So sad how you hate President Biden and wish him fail but God is with him and he will succeed!!,0,Twitter for iPhone,
